start_dt	starter	source	start_text
2022-11-10T10:42:54+01:00	kon	messages3.html#444166	To stop this behavior we need to stop hanging out together in cases like these
2022-11-12T09:37:21+01:00	zeno	messages4.html#446208	i am NOT saying it's your fault
2022-12-04T05:16:13+01:00	zeno	messages13.html#456987	i just want her to shut up
2022-12-14T18:20:10+01:00	kon	messages17.html#461712	Well tbh, if it's clean it's not your fault you're quicker
2022-12-30T16:06:43+01:00	kon	messages23.html#468880	I think that one of Mark Manson's values fits perfectly with this: - Taking full responsibility for everything happens to you (even if it's not your fault). In a sense this value produced in me the aknowledging I'm wrong
2023-01-09T10:45:37+01:00	kon	messages27.html#473945	How could you
2023-02-11T08:51:53+01:00	kon	messages36.html#486163	Because she was like "I'm done with you laying on that thing"
2023-03-04T09:03:43+01:00	kon	messages40.html#490689	You never told me what to do 😭
2023-03-10T11:26:53+01:00	kon	messages42.html#493018	but you never eat before
2023-03-15T14:53:45+01:00	zeno	messages42.html#493815	and then tomorrow morning you can fuck off to the ambassy
2023-04-01T09:58:10+01:00	zeno	messages45.html#497985	why would you even bring it to me if there's not even enough water to fill my own mug
2023-05-11T08:48:36+01:00	zeno	messages52.html#508926	oh, and how could i forget, you haven't worked out in weeks you piece of shit, i told you you'd drop it just like you always dropped everything in your life ✨
2023-05-17T21:11:46+01:00	zeno	messages55.html#512591	why would you go to work tomorrow migod 😭
2023-06-22T17:11:35+01:00	zeno	messages62.html#520854	block me
2023-06-28T22:45:29+01:00	zeno	messages63.html#522867	you always say you'll help me make a plan
2023-08-19T20:18:06+01:00	zeno	messages75.html#536019	Mary's past hunting her down? done it already, you turned Sherlock into a murderer for her protection already, THAT should have been the end of that arc, why would you try to top it
2023-11-17T09:22:38+01:00	kon	messages89.html#554908	You always manage and are happy after therapy
2024-03-26T20:04:48+01:00	kon	messages106.html#577000	you never believe me when I recommend u shit
2024-03-27T20:55:33+01:00	kon	messages106.html#577632	why would you say that 😭
2024-07-31T22:13:01+01:00	zeno	messages127.html#602088	i suppose it's better to stop this conversation then
2024-08-23T08:38:27+01:00	zeno	messages130.html#606167	can we stop this conversation?
2024-10-03T12:28:25+01:00	zeno	messages138.html#614034	i want to be with you always
2024-12-09T20:56:13+01:00	zeno	messages146.html#624083	it's not your fault of course
2025-03-03T07:54:36+01:00	zeno	messages156.html#637495	The only circumstances in which you're more than welcome to text me is if you need to fuck off from home, because obviously your physical wellbeing comes before my comfort
2025-04-07T08:36:49+01:00	kon	messages157.html#641465	One/teo nights and then i fuck off on my own maybe
2025-04-26T12:59:31+01:00	kon	messages159.html#644608	Why would you do that
2025-07-13T15:55:05+01:00	kon	messages168.html#659396	Why would you think that
2025-08-17T17:27:42+01:00	zeno	messages171.html#665866	i want to see you every day, i know the best thing i could do is to see you never
2025-09-06T13:49:17+01:00	kon	messages173.html#670546	Ok I’ll shut up now
2025-11-02T17:56:04+01:00	zeno	messages178.html#680280	you're acting like you always do when you feel bad
2025-11-30T11:44:00+01:00	kon	messages182.html#686133	you make it seem so convoluted
2026-01-09T15:52:44+01:00	kon	messages186.html#705971	Can’t believe you lied to me
2026-01-17T11:41:58+01:00	zeno	messages187.html#709393	sorry but just leave me alone and do what you want without having to pass from me
